"Title","Description","Series","M","Genome","SourceType","SourceUrl","SourceFile","SourceVersion","Species","TaxonomyId","Coordinate_1_based","DataProvider","TestStatistic","EffectSize","NullProportion","InformativeCovariate","RDataClass","DispatchClass","BiocVersion","Maintainer","RDataPath"
"human-uninf-benchmark","Gene set analysis of human dataset using GSEA with uninformative covariate","GSA",6783,"GRCh38","FASTQ","https://doi.org/10.5281/zenodo.1475409",NA,"md5:28508f1b03d6cfef75a7b537b7f186b6","Homo sapiens",9606,NA,"Genotype-Tissue Expression Project (GETx)","Enrichment Score",NA,NA,"Uninformative","SummarizedBenchmark","Rds",3.1,"Keegan Korthauer <kdkorthauer@gmail.com>","benchmarkfdrData2019/v1.0.0/GSA/human-uninf-benchmark.rds"
"bmi-maf-benchmark","Genome-wide association meta-analysis of BMI with minor allele frequency as covariate","GWAS",196969,"hg18","Zip","http://portals.broadinstitute.org/collaboration/giant/images/3/3a/BMI.SNPadjSMK.zip",NA,"2017 GIANT GxSMK Project Files for Public Release","Homo sapiens",9606,TRUE,"GIANT Consortium","t statistic",NA,NA,"Minor allele frequency","SummarizedBenchmark","Rds",3.1,"Keegan Korthauer <kdkorthauer@gmail.com>","benchmarkfdrData2019/v1.0.0/GWAS/bmi-maf-benchmark.rds"
"bmi-uninf-benchmark","Genome-wide association meta-analysis of BMI with uninformative covariate","GWAS",196969,"hg18","Zip","http://portals.broadinstitute.org/collaboration/giant/images/3/3a/BMI.SNPadjSMK.zip",NA,"2017 GIANT GxSMK Project Files for Public Release","Homo sapiens",9606,TRUE,"GIANT Consortium","t statistic",NA,NA,"Uninformative","SummarizedBenchmark","Rds",3.1,"Keegan Korthauer <kdkorthauer@gmail.com>","benchmarkfdrData2019/v1.0.0/GWAS/bmi-uninf-benchmark.rds"
"bmi-samplesize-benchmark","Genome-wide association meta-analysis of BMI with sample size as covariate","GWAS",196969,"hg18","Zip","http://portals.broadinstitute.org/collaboration/giant/images/3/3a/BMI.SNPadjSMK.zip",NA,"2017 GIANT GxSMK Project Files for Public Release","Homo sapiens",9606,TRUE,"GIANT Consortium","t statistic",NA,NA,"Sample size","SummarizedBenchmark","Rds",3.1,"Keegan Korthauer <kdkorthauer@gmail.com>","benchmarkfdrData2019/v1.0.0/GWAS/bmi-samplesize-benchmark.rds"
"baxter-genus-benchmark","16S microbiome differential testing of Baxter et al. (2016) dataset at genus-level with ubiquity as covariate","Microbiome",148,NA,"tar.gz","https://zenodo.org/record/840333/files/crc_baxter_results.tar.gz",NA,"md5:3604d25fe3ea0e48379d1f78a3aeb231","human gut metagenome",408170,NA,"University of Michigan; SRA study SRP062005","Wilcoxon rank-sum",NA,NA,"Ubiquity","SummarizedBenchmark","Rds",3.1,"Keegan Korthauer <kdkorthauer@gmail.com>","benchmarkfdrData2019/v1.0.0/Microbiome/baxter-genus-benchmark.rds"
"baxter-genus-log-ubiquity-benchmark","16S microbiome differential testing of Baxter et al. (2016) dataset at genus-level with log ubiquity as covariate","Microbiome",148,NA,"tar.gz","https://zenodo.org/record/840333/files/crc_baxter_results.tar.gz",NA,"md5:3604d25fe3ea0e48379d1f78a3aeb231","human gut metagenome",408170,NA,"University of Michigan; SRA study SRP062005","Wilcoxon rank-sum",NA,NA,"Log ubiquity","SummarizedBenchmark","Rds",3.1,"Keegan Korthauer <kdkorthauer@gmail.com>","benchmarkfdrData2019/v1.0.0/Microbiome/baxter-genus-log-ubiquity-benchmark.rds"
"baxter-genus-mean-abun-benchmark","16S microbiome differential testing of Baxter et al. (2016) dataset at genus-level with mean abundance as covariate","Microbiome",148,NA,"tar.gz","https://zenodo.org/record/840333/files/crc_baxter_results.tar.gz",NA,"md5:3604d25fe3ea0e48379d1f78a3aeb231","human gut metagenome",408170,NA,"University of Michigan; SRA study SRP062005","Wilcoxon rank-sum",NA,NA,"Mean abundance","SummarizedBenchmark","Rds",3.1,"Keegan Korthauer <kdkorthauer@gmail.com>","benchmarkfdrData2019/v1.0.0/Microbiome/baxter-genus-mean-abun-benchmark.rds"
"baxter-genus-mean-uninf-benchmark","16S microbiome differential testing of Baxter et al. (2016) dataset at genus-level with uninformative covariate","Microbiome",148,NA,"tar.gz","https://zenodo.org/record/840333/files/crc_baxter_results.tar.gz",NA,"md5:3604d25fe3ea0e48379d1f78a3aeb231","human gut metagenome",408170,NA,"University of Michigan; SRA study SRP062005","Wilcoxon rank-sum",NA,NA,"Uninformative","SummarizedBenchmark","Rds",3.1,"Keegan Korthauer <kdkorthauer@gmail.com>","benchmarkfdrData2019/v1.0.0/Microbiome/baxter-genus-mean-uninf-benchmark.rds"
"baxter-otus-benchmark","16S microbiome differential testing of Baxter et al. (2016) dataset at OTU-level with ubiquity as covariate","Microbiome",9388,NA,"tar.gz","https://zenodo.org/record/840333/files/crc_baxter_results.tar.gz",NA,"md5:3604d25fe3ea0e48379d1f78a3aeb231","human gut metagenome",408170,NA,"University of Michigan; SRA study SRP062005","Wilcoxon rank-sum",NA,NA,"Ubiquity","SummarizedBenchmark","Rds",3.1,"Keegan Korthauer <kdkorthauer@gmail.com>","benchmarkfdrData2019/v1.0.0/Microbiome/baxter-otus-benchmark.rds"
"baxter-otus-log-ubiquity-benchmark","16S microbiome differential testing of Baxter et al. (2016) dataset at OTU-level with log ubiquity as covariate","Microbiome",9388,NA,"tar.gz","https://zenodo.org/record/840333/files/crc_baxter_results.tar.gz",NA,"md5:3604d25fe3ea0e48379d1f78a3aeb231","human gut metagenome",408170,NA,"University of Michigan; SRA study SRP062005","Wilcoxon rank-sum",NA,NA,"Log ubiquity","SummarizedBenchmark","Rds",3.1,"Keegan Korthauer <kdkorthauer@gmail.com>","benchmarkfdrData2019/v1.0.0/Microbiome/baxter-otus-log-ubiquity-benchmark.rds"
"enigma-al-otus-benchmark","16S microbiome Spearman correlation test of ENIGMA dataset at OTU-level with Al measurements using ubiquity as covariate","Microbiome",4007,NA,"TXT","https://zenodo.org/record/1455793/files/enigma.metadata.txt,https://zenodo.org/record/1455793/files/enigma.otu_table_resampled_updated_r.txt.gz",NA,"md5:210e7805e1f4ff000c0b2f1047b24f3c;md5:26927389fcce3be546f66c1031044744","groundwater metagenome",717931,NA,"ENIGMA consortium, John-Marc Chandonia, Physical Biosciences Division, Berkeley National Lab <https://www.mg-rast.org/linkin.cgi?project=mgp8190>","Spearman correlation",NA,NA,"Ubiquity","SummarizedBenchmark","Rds",3.1,"Keegan Korthauer <kdkorthauer@gmail.com>","benchmarkfdrData2019/v1.0.0/Microbiome/enigma-al-otus-benchmark.rds"
"enigma-al-otus-abun-benchmark","16S microbiome Spearman correlation test of ENIGMA dataset at OTU-level with Al measurements using mean abundance as covariate","Microbiome",4007,NA,"TXT","https://zenodo.org/record/1455793/files/enigma.metadata.txt,https://zenodo.org/record/1455793/files/enigma.otu_table_resampled_updated_r.txt.gz",NA,"md5:210e7805e1f4ff000c0b2f1047b24f3c;md5:26927389fcce3be546f66c1031044744","groundwater metagenome",717931,NA,"ENIGMA consortium, John-Marc Chandonia, Physical Biosciences Division, Berkeley National Lab <https://www.mg-rast.org/linkin.cgi?project=mgp8190>","Spearman correlation",NA,NA,"Mean abundance","SummarizedBenchmark","Rds",3.1,"Keegan Korthauer <kdkorthauer@gmail.com>","benchmarkfdrData2019/v1.0.0/Microbiome/enigma-al-otus-abun-benchmark.rds"
"enigma-al-otus-uninf-benchmark","16S microbiome Spearman correlation test of ENIGMA dataset at OTU-level with Al measurements using uninformative covariate","Microbiome",4007,NA,"TXT","https://zenodo.org/record/1455793/files/enigma.metadata.txt,https://zenodo.org/record/1455793/files/enigma.otu_table_resampled_updated_r.txt.gz",NA,"md5:210e7805e1f4ff000c0b2f1047b24f3c;md5:26927389fcce3be546f66c1031044744","groundwater metagenome",717931,NA,"ENIGMA consortium, John-Marc Chandonia, Physical Biosciences Division, Berkeley National Lab <https://www.mg-rast.org/linkin.cgi?project=mgp8190>","Spearman correlation",NA,NA,"Uninformative","SummarizedBenchmark","Rds",3.1,"Keegan Korthauer <kdkorthauer@gmail.com>","benchmarkfdrData2019/v1.0.0/Microbiome/enigma-al-otus-uninf-benchmark.rds"
"enigma-ph-otus-benchmark","16S microbiome Spearman correlation test of ENIGMA dataset at OTU-level with pH measurements using ubiquity as covariate","Microbiome",4007,NA,"TXT","https://zenodo.org/record/1455793/files/enigma.metadata.txt,https://zenodo.org/record/1455793/files/enigma.otu_table_resampled_updated_r.txt.gz",NA,"md5:210e7805e1f4ff000c0b2f1047b24f3c;md5:26927389fcce3be546f66c1031044744","groundwater metagenome",717931,NA,"ENIGMA consortium, John-Marc Chandonia, Physical Biosciences Division, Berkeley National Lab <https://www.mg-rast.org/linkin.cgi?project=mgp8190>","Spearman correlation",NA,NA,"Ubiquity","SummarizedBenchmark","Rds",3.1,"Keegan Korthauer <kdkorthauer@gmail.com>","benchmarkfdrData2019/v1.0.0/Microbiome/enigma-ph-otus-benchmark.rds"
"enigma-ph-otus-abun-benchmark","16S microbiome Spearman correlation test of ENIGMA dataset at OTU-level with pH measurements using mean abundance as covariate","Microbiome",4007,NA,"TXT","https://zenodo.org/record/1455793/files/enigma.metadata.txt,https://zenodo.org/record/1455793/files/enigma.otu_table_resampled_updated_r.txt.gz",NA,"md5:210e7805e1f4ff000c0b2f1047b24f3c;md5:26927389fcce3be546f66c1031044744","groundwater metagenome",717931,NA,"ENIGMA consortium, John-Marc Chandonia, Physical Biosciences Division, Berkeley National Lab <https://www.mg-rast.org/linkin.cgi?project=mgp8190>","Spearman correlation",NA,NA,"Mean abundance","SummarizedBenchmark","Rds",3.1,"Keegan Korthauer <kdkorthauer@gmail.com>","benchmarkfdrData2019/v1.0.0/Microbiome/enigma-ph-otus-abun-benchmark.rds"
"enigma-ph-otus-uninf-benchmark","16S microbiome Spearman correlation test of ENIGMA dataset at OTU-level with pH measurements using uninformative covariate","Microbiome",4007,NA,"TXT","https://zenodo.org/record/1455793/files/enigma.metadata.txt,https://zenodo.org/record/1455793/files/enigma.otu_table_resampled_updated_r.txt.gz",NA,"md5:210e7805e1f4ff000c0b2f1047b24f3c;md5:26927389fcce3be546f66c1031044744","groundwater metagenome",717931,NA,"ENIGMA consortium, John-Marc Chandonia, Physical Biosciences Division, Berkeley National Lab <https://www.mg-rast.org/linkin.cgi?project=mgp8190>","Spearman correlation",NA,NA,"Uninformative","SummarizedBenchmark","Rds",3.1,"Keegan Korthauer <kdkorthauer@gmail.com>","benchmarkfdrData2019/v1.0.0/Microbiome/enigma-ph-otus-uninf-benchmark.rds"
"enigma-so4-otus-benchmark","16S microbiome Spearman correlation test of ENIGMA dataset at OTU-level with SO4 measurements using ubiquity as covariate","Microbiome",4007,NA,"TXT","https://zenodo.org/record/1455793/files/enigma.metadata.txt,https://zenodo.org/record/1455793/files/enigma.otu_table_resampled_updated_r.txt.gz",NA,"md5:210e7805e1f4ff000c0b2f1047b24f3c;md5:26927389fcce3be546f66c1031044744","groundwater metagenome",717931,NA,"ENIGMA consortium, John-Marc Chandonia, Physical Biosciences Division, Berkeley National Lab <https://www.mg-rast.org/linkin.cgi?project=mgp8190>","Spearman correlation",NA,NA,"Ubiquity","SummarizedBenchmark","Rds",3.1,"Keegan Korthauer <kdkorthauer@gmail.com>","benchmarkfdrData2019/v1.0.0/Microbiome/enigma-so4-otus-benchmark.rds"
"enigma-so4-otus-abun-benchmark","16S microbiome Spearman correlation test of ENIGMA dataset at OTU-level with SO4 measurements using mean abundance as covariate","Microbiome",4007,NA,"TXT","https://zenodo.org/record/1455793/files/enigma.metadata.txt,https://zenodo.org/record/1455793/files/enigma.otu_table_resampled_updated_r.txt.gz",NA,"md5:210e7805e1f4ff000c0b2f1047b24f3c;md5:26927389fcce3be546f66c1031044744","groundwater metagenome",717931,NA,"ENIGMA consortium, John-Marc Chandonia, Physical Biosciences Division, Berkeley National Lab <https://www.mg-rast.org/linkin.cgi?project=mgp8190>","Spearman correlation",NA,NA,"Mean abundance","SummarizedBenchmark","Rds",3.1,"Keegan Korthauer <kdkorthauer@gmail.com>","benchmarkfdrData2019/v1.0.0/Microbiome/enigma-so4-otus-abun-benchmark.rds"
"enigma-so4-otus-uninf-benchmark","16S microbiome Spearman correlation test of ENIGMA dataset at OTU-level with SO4 measurements using uninformative covariate","Microbiome",4007,NA,"TXT","https://zenodo.org/record/1455793/files/enigma.metadata.txt,https://zenodo.org/record/1455793/files/enigma.otu_table_resampled_updated_r.txt.gz",NA,"md5:210e7805e1f4ff000c0b2f1047b24f3c;md5:26927389fcce3be546f66c1031044744","groundwater metagenome",717931,NA,"ENIGMA consortium, John-Marc Chandonia, Physical Biosciences Division, Berkeley National Lab <https://www.mg-rast.org/linkin.cgi?project=mgp8190>","Spearman correlation",NA,NA,"Uninformative","SummarizedBenchmark","Rds",3.1,"Keegan Korthauer <kdkorthauer@gmail.com>","benchmarkfdrData2019/v1.0.0/Microbiome/enigma-so4-otus-uninf-benchmark.rds"
"goodrich-genus-benchmark","16S microbiome differential testing of Goodrich et al. (2014) dataset at genus-level with ubiquity as covariate","Microbiome",153,NA,"tar.gz","https://zenodo.org/record/840333/files/ob_goodrich_results.tar.gz",NA,"md5:7aa4ee253d1c4ac51cbadd6ef366dea7","human gut metagenome",408170,NA,"Colorado Center for Microbial Ecology, University of Colorado at Boulder; ENA studies PRJEB6702 and PRJEB6705","Wilcoxon rank-sum",NA,NA,"Ubiquity","SummarizedBenchmark","Rds",3.1,"Keegan Korthauer <kdkorthauer@gmail.com>","benchmarkfdrData2019/v1.0.0/Microbiome/goodrich-genus-benchmark.rds"
"goodrich-genus-abun-benchmark","16S microbiome differential testing of Goodrich et al. (2014) dataset at genus-level with mean abundance as covariate","Microbiome",153,NA,"tar.gz","https://zenodo.org/record/840333/files/ob_goodrich_results.tar.gz",NA,"md5:7aa4ee253d1c4ac51cbadd6ef366dea7","human gut metagenome",408170,NA,"Colorado Center for Microbial Ecology, University of Colorado at Boulder; ENA studies PRJEB6702 and PRJEB6705","Wilcoxon rank-sum",NA,NA,"Mean abundance","SummarizedBenchmark","Rds",3.1,"Keegan Korthauer <kdkorthauer@gmail.com>","benchmarkfdrData2019/v1.0.0/Microbiome/goodrich-genus-abun-benchmark.rds"
"goodrich-genus-uninf-benchmark","16S microbiome differential testing of Goodrich et al. (2014) dataset at genus-level with uninformative covariate","Microbiome",153,NA,"tar.gz","https://zenodo.org/record/840333/files/ob_goodrich_results.tar.gz",NA,"md5:7aa4ee253d1c4ac51cbadd6ef366dea7","human gut metagenome",408170,NA,"Colorado Center for Microbial Ecology, University of Colorado at Boulder; ENA studies PRJEB6702 and PRJEB6705","Wilcoxon rank-sum",NA,NA,"Uninformative","SummarizedBenchmark","Rds",3.1,"Keegan Korthauer <kdkorthauer@gmail.com>","benchmarkfdrData2019/v1.0.0/Microbiome/goodrich-genus-uninf-benchmark.rds"
"goodrich-otus-benchmark","16S microbiome differential testing of Goodrich et al. (2014) dataset at OTU-level with ubiquity as covariate","Microbiome",42388,NA,"tar.gz","https://zenodo.org/record/840333/files/ob_goodrich_results.tar.gz",NA,"md5:7aa4ee253d1c4ac51cbadd6ef366dea7","human gut metagenome",408170,NA,"Colorado Center for Microbial Ecology, University of Colorado at Boulder; ENA studies PRJEB6702 and PRJEB6705","Wilcoxon rank-sum",NA,NA,"Ubiquity","SummarizedBenchmark","Rds",3.1,"Keegan Korthauer <kdkorthauer@gmail.com>","benchmarkfdrData2019/v1.0.0/Microbiome/goodrich-otus-benchmark.rds"
"papa-genus-benchmark","16S microbiome differential testing of Papa et al. (2012) dataset at genus-level with ubiquity as covariate","Microbiome",75,NA,"tar.gz","https://zenodo.org/record/840333/files/ibd_alm_results.tar.gz",NA,"md5:e2d6037596ba692cb971e50a84f64290","human gut metagenome",408170,NA,"Eric J. Alm, Massachusetts Institute of Technology, Cambridge, Massachusetts, USA <ejalm@mit.edu>","Wilcoxon rank-sum",NA,NA,"Ubiquity","SummarizedBenchmark","Rds",3.1,"Keegan Korthauer <kdkorthauer@gmail.com>","benchmarkfdrData2019/v1.0.0/Microbiome/papa-genus-benchmark.rds"
"papa-genus-abun-benchmark","16S microbiome differential testing of Papa et al. (2012) dataset at genus-level with mean abundance as covariate","Microbiome",75,NA,"tar.gz","https://zenodo.org/record/840333/files/ibd_alm_results.tar.gz",NA,"md5:e2d6037596ba692cb971e50a84f64290","human gut metagenome",408170,NA,"Eric J. Alm, Massachusetts Institute of Technology, Cambridge, Massachusetts, USA <ejalm@mit.edu>","Wilcoxon rank-sum",NA,NA,"Mean abundance","SummarizedBenchmark","Rds",3.1,"Keegan Korthauer <kdkorthauer@gmail.com>","benchmarkfdrData2019/v1.0.0/Microbiome/papa-genus-abun-benchmark.rds"
"papa-genus-log-ubiquity-benchmark","16S microbiome differential testing of Papa et al. (2012) dataset at genus-level with log ubiquity as covariate","Microbiome",75,NA,"tar.gz","https://zenodo.org/record/840333/files/ibd_alm_results.tar.gz",NA,"md5:e2d6037596ba692cb971e50a84f64290","human gut metagenome",408170,NA,"Eric J. Alm, Massachusetts Institute of Technology, Cambridge, Massachusetts, USA <ejalm@mit.edu>","Wilcoxon rank-sum",NA,NA,"Log ubiquity","SummarizedBenchmark","Rds",3.1,"Keegan Korthauer <kdkorthauer@gmail.com>","benchmarkfdrData2019/v1.0.0/Microbiome/papa-genus-log-ubiquity-benchmark.rds"
"papa-genus-uninf-benchmark","16S microbiome differential testing of Papa et al. (2012) dataset at genus-level with uninformative covariate","Microbiome",75,NA,"tar.gz","https://zenodo.org/record/840333/files/ibd_alm_results.tar.gz",NA,"md5:e2d6037596ba692cb971e50a84f64290","human gut metagenome",408170,NA,"Eric J. Alm, Massachusetts Institute of Technology, Cambridge, Massachusetts, USA <ejalm@mit.edu>","Wilcoxon rank-sum",NA,NA,"Uninformative","SummarizedBenchmark","Rds",3.1,"Keegan Korthauer <kdkorthauer@gmail.com>","benchmarkfdrData2019/v1.0.0/Microbiome/papa-genus-uninf-benchmark.rds"
"papa-otus-benchmark","16S microbiome differential testing of Papa et al. (2012) dataset at OTU-level with ubiquity as covariate","Microbiome",2355,NA,"tar.gz","https://zenodo.org/record/840333/files/ibd_alm_results.tar.gz",NA,"md5:e2d6037596ba692cb971e50a84f64290","human gut metagenome",408170,NA,"Eric J. Alm, Massachusetts Institute of Technology, Cambridge, Massachusetts, USA <ejalm@mit.edu>","Wilcoxon rank-sum",NA,NA,"Ubiquity","SummarizedBenchmark","Rds",3.1,"Keegan Korthauer <kdkorthauer@gmail.com>","benchmarkfdrData2019/v1.0.0/Microbiome/papa-otus-benchmark.rds"
"schubert-otus-benchmark","16S microbiome differential testing of Schubert et al. (2014) dataset at OTU-level with ubiquity as covariate","Microbiome",3118,NA,"tar.gz","https://zenodo.org/record/840333/files/cdi_schubert_results.tar.gz",NA,"md5:26a2589c448d8425766db6b86155694f","human gut metagenome",408170,NA,"Patrick Schloss, University of Michigan, Ann Arbor, MI, USA <mothur.org/CDI_MicrobiomeModeling>","Wilcoxon rank-sum",NA,NA,"Ubiquity","SummarizedBenchmark","Rds",3.1,"Keegan Korthauer <kdkorthauer@gmail.com>","benchmarkfdrData2019/v1.0.0/Microbiome/schubert-otus-benchmark.rds"
"schubert-otus-abun-benchmark","16S microbiome differential testing of Schubert et al. (2014) dataset at OTU-level with mean abundance as covariate","Microbiome",3118,NA,"tar.gz","https://zenodo.org/record/840333/files/cdi_schubert_results.tar.gz",NA,"md5:26a2589c448d8425766db6b86155694f","human gut metagenome",408170,NA,"Patrick Schloss, University of Michigan, Ann Arbor, MI, USA <mothur.org/CDI_MicrobiomeModeling>","Wilcoxon rank-sum",NA,NA,"Mean abundance","SummarizedBenchmark","Rds",3.1,"Keegan Korthauer <kdkorthauer@gmail.com>","benchmarkfdrData2019/v1.0.0/Microbiome/schubert-otus-abun-benchmark.rds"
"schubert-otus-uninf-benchmark","16S microbiome differential testing of Schubert et al. (2014) dataset at OTU-level with uninformative covariate","Microbiome",3118,NA,"tar.gz","https://zenodo.org/record/840333/files/cdi_schubert_results.tar.gz",NA,"md5:26a2589c448d8425766db6b86155694f","human gut metagenome",408170,NA,"Patrick Schloss, University of Michigan, Ann Arbor, MI, USA <mothur.org/CDI_MicrobiomeModeling>","Wilcoxon rank-sum",NA,NA,"Uninformative","SummarizedBenchmark","Rds",3.1,"Keegan Korthauer <kdkorthauer@gmail.com>","benchmarkfdrData2019/v1.0.0/Microbiome/schubert-otus-uninf-benchmark.rds"
"brain-benchmark","Differential gene expression analysis between two brain regions (nucleus accumbens and putamen) using data from the GTEx project with mean counts as covariate","RNA-seq",30374,"GRCh38","RData","https://zenodo.org/record/1475409/files/rnaseq-brain-counts.rds",NA,"1","Homo sapiens",9606,NA,"Zenodo","DESeq2",NA,NA,"Mean counts","SummarizedBenchmark","Rds",3.1,"Keegan Korthauer <kdkorthauer@gmail.com>","benchmarkfdrData2019/v1.0.0/RNA-seq/brain-benchmark.rds"
